"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 19:00:29 IST 2023","Thu Jun 01 19:00:33 IST 2023","3201","Test Connectivity","test_connectivity","TestResources","","","Cloud Controller Connectivity","Test case to verify cloud Controller Connectivity
           Unique marker: pytest -m ""test_cloud_controller""
        "
"passed","Thu Jun 01 22:13:22 IST 2023","Thu Jun 01 22:15:39 IST 2023","136483","Multi VLAN Test","VLAN Mode","5Ghz","","","Test VLAN with WPA2 Personal Security Mode","
            To verify that a client operating with WPA2(personal) security will connect or not using Multi VLANS
            pytest -m ""multi_vlan and wpa2_personal and fiveg and ow_sanity_lf""
        "
"passed","Thu Jun 01 19:07:57 IST 2023","Thu Jun 01 19:07:58 IST 2023","1199","SDK Tests","Provisioning Service Tests","Provisioning Service Entity API tests","","","Read All Entities","
        Test to Read all entities in Provision service
        Unique marker:pytest -m ""provi_api_readAll_entity_test""
        "
"passed","Thu Jun 01 22:26:14 IST 2023","Thu Jun 01 22:29:42 IST 2023","208108","Multi VLAN Test","VLAN Mode","2.4 Ghz","","","Test Disabled VLAN with WPA2 Security Mode","
            To verify that a client operating with wpa2(personal) security will connect or not by disabling VLAN.
            Unique marker:pytest -m ""disable_vlan_twog and twog and wpa2_personal and ow_sanity_lf""
        "
"failed","Thu Jun 01 20:04:10 IST 2023","Thu Jun 01 20:11:08 IST 2023","418585","MultiPsk Test","BRIDGE Mode","WPA2 Security","","","Test for Client Connect with 1 VLAN","
                    To verify a client operating on BRIDGE Mode Multipsk Test with wpa encryption 2.4 GHz Band is connecting or not.
                    pytest -m ""ow_sanity_lf and vlan1 and wpa2 and multipsk""
        "
"passed","Thu Jun 01 20:43:41 IST 2023","Thu Jun 01 20:45:27 IST 2023","105717","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-A","","","Test for wpa3 enterprise 2.4 GHz"," wpa enterprise 2g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa3_enterprise and twog""
        "
"passed","Thu Jun 01 20:30:23 IST 2023","Thu Jun 01 20:33:57 IST 2023","213962","Rate Limiting With Radius Test","BRIDGE Mode","WPA2 Enterprise Security","","","Test for Download per SSID per Station 2.4GHz",""
"passed","Thu Jun 01 19:00:33 IST 2023","Thu Jun 01 19:00:34 IST 2023","965","Test Connectivity","test_connectivity","TestResources","","","Check AP is restricted",""
"passed","Thu Jun 01 21:05:43 IST 2023","Thu Jun 01 21:08:54 IST 2023","191381","MultiPsk Test","NAT Mode","WPA2 Security","","","Test for Client Connect with 2 VLAN's","
            To verify the client operating on NAT Mode Multipsk Test with WPA encryption 2.4 GHz Band
            Unique marker: pytest -m ""multi_psk_tests and nat and wpa2_personal and vlan2 and twog""
        "
"passed","Thu Jun 01 20:53:42 IST 2023","Thu Jun 01 20:55:25 IST 2023","103674","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-B","","","Test for wpa3 enterprise mixed 2.4 GHz"," wpa enterprise 2g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa3_enterprise_mixed and twog""
        "
"passed","Thu Jun 01 19:07:52 IST 2023","Thu Jun 01 19:07:54 IST 2023","2070","SDK Tests","Provisioning Service Tests","Provisioning Service Inventory API tests","","","Edit Inventory device","
        Test to Edit a device in inventory of Provision Service
        Unique marker: pytest -m ""owprov_api_edit_inventory""
        "
"passed","Thu Jun 01 20:36:08 IST 2023","Thu Jun 01 20:37:43 IST 2023","94170","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-A","","","Test for wpa enterprise 2.4 GHz"," wpa enterprise 2g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa_enterprise and twog""
        "
"passed","Thu Jun 01 19:54:47 IST 2023","Thu Jun 01 19:56:46 IST 2023","119231","Client Connectivity Tests","BRIDGE Mode","EAP TLS Client Connectivity : Suite-B","","","Bridge Mode Client Connectivity Test with WAP-WPA2-Enterprise-TLS in 2.4GHz Band","
        To verify that a client created on 2G radio connects to AP in Bridge mode with WAP-WPA2-Enterprise  TLS security
          Unique Marker:  pytest -m ""client_connectivity_tests and wpa_wpa2_enterprise_mixed and enterprise and ow_sanity_lf and tls and bridge and twog""
        "
"passed","Thu Jun 01 21:37:59 IST 2023","Thu Jun 01 21:40:15 IST 2023","135560","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA3-Personal Encryption 2.4GHz Band","
            To verify that a client created on 2G radio connects to AP in VLAN mode (i.e VLAN-100) with WPA3-Personal authentication
           Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa3_personal and twog""
        "
"passed","Thu Jun 01 19:00:42 IST 2023","Thu Jun 01 19:00:44 IST 2023","1797","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Get OW Gateway Commands","
        Test to verify OW gateway commands executed
        Unique marker: pytest -m ""gw_commands""
        "
"passed","Thu Jun 01 19:08:09 IST 2023","Thu Jun 01 19:08:10 IST 2023","948","SDK Tests","Provisioning Service Tests","Provisioning Service Location API tests","","","Get All Locations","
        Test to get the information of all locations using Provision services
        Unique marker:pytest -m ""prov_api_location""
        "
"passed","Thu Jun 01 19:58:43 IST 2023","Thu Jun 01 20:00:18 IST 2023","94784","Client Connectivity Tests","BRIDGE Mode","EAP TLS Client Connectivity : Suite-B","","","Bridge Mode Client Connectivity Test with WAP3-Enterprise-Mixed-TLS in 2.4GHz Band","
                       To verify that a client created on 2G radio connects to AP in Bridge mode with WAP3-Enterprise-Mixed  TLS security
                         Unique Marker: pytest -m ""client_connectivity_tests and wpa3_enterprise_mixed and enterprise and ow_sanity_lf and tls and bridge and twog""
                       "
"passed","Thu Jun 01 21:28:54 IST 2023","Thu Jun 01 21:31:10 IST 2023","136358","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA Encryption 5GHz Band","
            To verify that a client created on 5G radio connects to AP in VLAN mode (i.e VLAN-100) with WPA authentication
          Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa and fiveg""
        "
"passed","Thu Jun 01 19:08:10 IST 2023","Thu Jun 01 19:08:14 IST 2023","3514","SDK Tests","Provisioning Service Tests","Provisioning Service Location API tests","","","Create Location","
            Test to create location in provision Service
            Unique marker:pytest -m ""prov_api_create_location_test""
        "
"passed","Thu Jun 01 20:16:29 IST 2023","Thu Jun 01 20:18:32 IST 2023","122837","MultiPsk Test","BRIDGE Mode","WPA Security","","","Test for Client Connect with 1 VLAN","
                    To verify a client operating on BRIDGE Mode Multipsk Test with wpa encryption 2.4 GHz Band is connecting or not
                    pytest -m ""ow_sanity_lf and vlan1 and bridgemode""
        "
"passed","Thu Jun 01 19:08:24 IST 2023","Thu Jun 01 19:08:26 IST 2023","2046","SDK Tests","Provisioning Service Tests","Provisioning Service Venue API tests","","","Delete Venue","
        Test to Delete venue in Provision Service
        Unique Marker:pytest -m ""prov_api_delete_venue_test""
        "
"passed","Thu Jun 01 21:24:04 IST 2023","Thu Jun 01 21:26:18 IST 2023","133808","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with Open Encryption 5GHz Band","
            To verify that a client created on 5G radio connects to AP in VLAN mode (VLAM-100) with open authentication
           Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and open and fiveg""
        "
"passed","Thu Jun 01 21:47:42 IST 2023","Thu Jun 01 21:50:00 IST 2023","137705","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA-WPA2-Personal-Mixed Encryption 2.4GHz Band","
            To verify that a client created on 2G radio connects to AP in VLAN mode (i.e VLAN-100) with WPA-WPA2-Personal-Mixed authentication
            Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa_wpa2_personal_mixed and twog""
        "
"passed","Thu Jun 01 19:01:09 IST 2023","Thu Jun 01 19:01:10 IST 2023","973","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Telemetry Device","
            Test to Request telemetry from device present in Gateway UI
            Unique marker:pytest -m ""gw_telemetry_device""
        "
"passed","Thu Jun 01 20:00:27 IST 2023","Thu Jun 01 20:02:03 IST 2023","96661","Client Connectivity Tests","BRIDGE Mode","EAP TLS Client Connectivity : Suite-B","","","Bridge Mode Client Connectivity Test with WAP3-Enterprise-Mixed-TLS in 5GHz Band","
         To verify that a client created on 5G radio connects to AP in Bridge mode with WAP3-Enterprise-Mixed  TLS security
         Unique Marker: pytest -m ""client_connectivity_tests and wpa3_enterprise_mixed and enterprise and ow_sanity_lf and tls and bridge and fiveg""
                              "
"passed","Thu Jun 01 19:08:14 IST 2023","Thu Jun 01 19:08:15 IST 2023","1041","SDK Tests","Provisioning Service Tests","Provisioning Service Location API tests","","","Read Location","
        Test to Read location in Provision Services
        Unique marker:pytest -m ""prov_api_read_loaction_test""
        "
"passed","Thu Jun 01 19:08:03 IST 2023","Thu Jun 01 19:08:04 IST 2023","936","SDK Tests","Provisioning Service Tests","Provisioning Service Contact API tests","","","Get All Contacts","
        Test to get all contacts in Provision services
        Unique marker:pytest -m ""prov_api_contact_test""
        "
"passed","Thu Jun 01 19:08:04 IST 2023","Thu Jun 01 19:08:05 IST 2023","958","SDK Tests","Provisioning Service Tests","Provisioning Service Contact API tests","","","Create Contact","
            Test to create Contact in provision Service
            Unique marker: pytest -m ""prov_api_contact_test""
        "
"passed","Thu Jun 01 19:01:27 IST 2023","Thu Jun 01 19:07:49 IST 2023","382078","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Asb script on restricted AP",""
"passed","Thu Jun 01 19:00:33 IST 2023","Thu Jun 01 19:00:33 IST 2023","724","Test Connectivity","test_connectivity","TestResources","","","Cloud Access Point Connectivity","Test case to verify Access Points Connectivity
        Unique marker: pytest -m ""test_access_points_connectivity""
        "
"passed","Thu Jun 01 21:31:18 IST 2023","Thu Jun 01 21:33:31 IST 2023","133201","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA2-Personal Encryption 2.4GHz Band","
            To verify that a client created on 2G radio connects to AP in VLAN mode with WPA2-Personal authentication
           Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa2_personal and twog""
        "
"passed","Thu Jun 01 22:31:48 IST 2023","Thu Jun 01 22:32:55 IST 2023","66422","Rate Limiting Tests","VLAN Mode","WPA2 Personal Security","","","Test for Upload and Download batch size 1,2,5 2.4 GHz","
            To verfiy a client operating with WPA2 Personal security can limit the UP & DW traffic or not.
            pytest -m ""rate_limiting_tests and vlan and wpa2_personal and twog and upload_download and batch_size_125""
        "
"passed","Thu Jun 01 20:37:51 IST 2023","Thu Jun 01 20:39:37 IST 2023","105570","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-A","","","Test for wpa enterprise 5 GHz"," wpa enterprise 5g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa_enterprise and fiveg""
        "
"passed","Thu Jun 01 20:50:03 IST 2023","Thu Jun 01 20:51:42 IST 2023","98705","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-B","","","Test for wpa wpa2 enterprise 2.4 GHz"," wpa enterprise 2g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa_wpa2_enterprise_mixed and twog""
        "
"passed","Thu Jun 01 19:08:18 IST 2023","Thu Jun 01 19:08:19 IST 2023","981","SDK Tests","Provisioning Service Tests","Provisioning Service Venue API tests","","","Get All Venues","
        Test to get all venues in provision services
        Unique marker:pytest -m ""prov_api_all_venue""
        "
"passed","Thu Jun 01 19:07:55 IST 2023","Thu Jun 01 19:07:57 IST 2023","1165","SDK Tests","Provisioning Service Tests","Provisioning Service System commands API tests","","","System Info OW Prov Service",""
"skipped","Thu Jun 01 21:42:44 IST 2023","Thu Jun 01 21:42:44 IST 2023","1","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA3-Personal Encryption 6GHz Band","
            To verify that a client created on 6G radio connects to AP in VLAN mode (i.e VLAN-100) with WPA3-Personal authentication
           Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa3_personal and sixg""
        "
"passed","Thu Jun 01 19:00:49 IST 2023","Thu Jun 01 19:00:50 IST 2023","1272","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Ping Device","
            Test to Ping device present in Gateway UI
            Unique marker:pytest -m ""gw_ping_device""
        "
"passed","Thu Jun 01 19:08:26 IST 2023","Thu Jun 01 19:08:27 IST 2023","975","SDK Tests","Security Service Tests","TestUcentralSecService","","","Get System Endpoints","
            Test the system endpoints to verify list of services that are present
            Unique marker:pytest -m ""system endpoints""
        "
"passed","Thu Jun 01 21:50:08 IST 2023","Thu Jun 01 21:52:21 IST 2023","132647","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA-WPA2-Personal-Mixed Encryption 5GHz Band","
            To verify that a client created on 5G radio connects to AP in VLAN mode (i.e VLAN-100) with WPA-WPA2-Personal-Mixed  authentication
            Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa_wpa2_personal_mixed and fiveg""
        "
"passed","Thu Jun 01 19:08:22 IST 2023","Thu Jun 01 19:08:24 IST 2023","1906","SDK Tests","Provisioning Service Tests","Provisioning Service Venue API tests","","","Edit Venue","
        Test to Edit venues in Provision Services
        Unique marker:pytest -m ""prov_api_edit_venue_test""
        "
"passed","Thu Jun 01 19:00:44 IST 2023","Thu Jun 01 19:00:45 IST 2023","999","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Get Device Logs","
            Test the device logs present in Gateway UI
            Unique marker:pytest -m ""gw_device_logs""
        "
"passed","Thu Jun 01 19:08:06 IST 2023","Thu Jun 01 19:08:08 IST 2023","2294","SDK Tests","Provisioning Service Tests","Provisioning Service Contact API tests","","","Edit Contact","
        Test to edit a contact in Provision service
        Unique marker: pytest -m ""prov_api_edit_contact_test""
        "
"passed","Thu Jun 01 22:11:02 IST 2023","Thu Jun 01 22:13:14 IST 2023","131953","Multi VLAN Test","VLAN Mode","5Ghz","","","Test VLAN with WPA Security Mode","
            To verify that a client operating with WPA security will connect or not using Multi VLAN's
            pytest -m ""multi_vlan and wpa and fiveg and ow_sanity_lf""
        "
"passed","Thu Jun 01 19:00:45 IST 2023","Thu Jun 01 19:00:46 IST 2023","1008","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Get Health Checks","
            Test the device health checks present in Gateway UI
            Unique marker:pytest -m ""gw_device_health_checks""
        "
"passed","Thu Jun 01 20:18:40 IST 2023","Thu Jun 01 20:21:50 IST 2023","189724","MultiPsk Test","BRIDGE Mode","WPA Security","","","Test for Client Connect with 2 VLAN's","
            to verify a client operating on BRIDGE Mode Multipsk Test with wpa encryption 2.4 GHz Band is connecting or not
            pytest -m ""ow_sanity_lf and vlan2 and bridgemode""
        "
"passed","Thu Jun 01 19:00:52 IST 2023","Thu Jun 01 19:00:54 IST 2023","2324","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Trace Command","
            Test to trace device present in Gateway UI
            Unique marker:pytest -m ""gw_trace_device""
        "
"passed","Thu Jun 01 21:42:53 IST 2023","Thu Jun 01 21:45:09 IST 2023","136092","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA3-Personal-Mixed Encryption 2.4GHz Band","
            To verify that a client created on 2G radio connects to AP in VLAN mode (i.e VLAN-100) with WPA3-Personal-Mixed authentication
            Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa3_personal_mixed and twog""
        "
"passed","Thu Jun 01 21:26:27 IST 2023","Thu Jun 01 21:28:45 IST 2023","138674","Client Connectivity Tests","VLAN Mode","General security mode Client Connectivity","","","VLAN Mode Client Connectivity Test with WPA Encryption 2.4GHz Band","
            To verify that a client created on 2G radio connects to AP in VLAN mode (i.e VLAN-100) with WPA personal authentication
            Unique Marker: pytest -m ""client_connectivity_tests and vlan and general and wpa and twog""
        "
"passed","Thu Jun 01 21:54:26 IST 2023","Thu Jun 01 21:56:33 IST 2023","126456","Dynamic VLAN Test","WPA2 Enterprise Security","5 GHz Band","","","Test for dynamic precedence over ssid","
                pytest -m ""dynamic_precedence_over_ssid and wpa2_enterprise and vlan and fiveg""
        "
"passed","Thu Jun 01 19:00:48 IST 2023","Thu Jun 01 19:00:49 IST 2023","967","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Get Device Status","
            Test the device status present in Gateway UI
            Unique marker: pytest -m ""gw_device_status""
        "
"passed","Thu Jun 01 19:00:50 IST 2023","Thu Jun 01 19:00:52 IST 2023","1299","SDK Tests","Gateway Service Tests","TestUcentralGatewayService","","","Blink LED API","
            Test to Blink led on device present in Gateway UI
            Unique marker: pytest -m ""gw_led_blink_device""
        "
"failed","Thu Jun 01 20:59:25 IST 2023","Thu Jun 01 21:05:35 IST 2023","369958","MultiPsk Test","NAT Mode","WPA2 Security","","","Test for Client Connect with 1 VLAN","
                    To verify a client operating on NAT Mode Multipsk Test with wpa encryption 2.4 GHz Band is connecting or not.
                    Unique Marker:pytest -m ""multi_psk_tests and NAT and wpa_personal and vlan1 and twog""
        "
"passed","Thu Jun 01 20:45:35 IST 2023","Thu Jun 01 20:47:19 IST 2023","104610","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-A","","","Test for wpa3 enterprise 5 GHz"," wpa enterprise 2g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa3_enterprise and fiveg""
        "
"passed","Thu Jun 01 19:08:02 IST 2023","Thu Jun 01 19:08:03 IST 2023","1118","SDK Tests","Provisioning Service Tests","Provisioning Service Entity API tests","","","Delete Entity","
        Test to Delete an entity in Provision service
        Unique marker:pytest -m ""prov_api_delete_entity_test""
        "
"passed","Thu Jun 01 21:13:28 IST 2023","Thu Jun 01 21:16:42 IST 2023","194474","MultiPsk Test","NAT Mode","WPA Security","","","Test for Client Connect with 2 VLAN's","
            To verify a client operating on NAT Mode Multipsk Test with wpa encryption 2.4 GHz Band is connecting or not.
            pytest -m ""multi_psk_tests and NAT and wpa and vlan2 and twog""
        "
